Model name;undefined x;undefined y;undefined z;EX_R x;EX_R y;EX_R z;EX_L x;EX_L y;EX_L z;EN_R x;EN_R y;EN_R z;EN_L x;EN_L y;EN_L z;PAS_R x;PAS_R y;PAS_R z;PAS_L x;PAS_L y;PAS_L z;PAI_R x;PAI_R y;PAI_R z;PAI_L x;PAI_L y;PAI_L z;G x;G y;G z;SN x;SN y;SN z;AL_R x;AL_R y;AL_R z;AL_L x;AL_L y;AL_L z;N x;N y;N z;PRN x;PRN y;PRN z;LS x;LS y;LS z;STO x;STO y;STO z;LI x;LI y;LI z;CH_R x;CH_R y;CH_R z;CH_L x;CH_L y;CH_L z;CP_R x;CP_R y;CP_R z;CP_L x;CP_L y;CP_L z;SL x;SL y;SL z;GN x;GN y;GN z;GOL_R x;GOL_R y;GOL_R z;GOL_L x;GOL_L y;GOL_L z;ZY_R x;ZY_R y;ZY_R z;ZY_L x;ZY_L y;ZY_L z;PG x;PG y;PG z;T_R x;T_R y;T_R z;T_L x;T_L y;T_L z;SA_R x;SA_R y;SA_R z;SA_L x;SA_L y;SA_L z;SBA_R x;SBA_R y;SBA_R z;SBA_L x;SBA_L y;SBA_L z;PA_R x;PA_R y;PA_R z;PA_L x;PA_L y;PA_L z;OBS_R x;OBS_R y;OBS_R z;OBS_L x;OBS_L y;OBS_L z;OBI_R x;OBI_R y;OBI_R z;OBI_L x;OBI_L y;OBI_L z;PRA_R x;PRA_R y;PRA_R z;PRA_L x;PRA_L y;PRA_L z;PUP_R x;PUP_R y;PUP_R z;PUP_L x;PUP_L y;PUP_L z;GNA x;GNA y;GNA z;GO2_R x;GO2_R y;GO2_R z;GO2_L x;GO2_L y;GO2_L z;V x;V y;V z;O x;O y;O z;RN_R x;RN_R y;RN_R z;RN_L x;RN_L y;RN_L z;EU2_R x;EU2_R y;EU2_R z;EU2_L x;EU2_L y;EU2_L z;RM_R x;RM_R y;RM_R z;RM_L x;RM_L y;RM_L z;P_L x;P_L y;P_L z
00002_01_ECA.obj;;;;-43.48909;34.517548;-38.153202;41.953976;35.122734;-37.951565;-16.989634;32.58249;-34.5381;15.299556;32.5501;-34.161522;-32.22957;38.425163;-30.784502;31.65939;38.7113;-30.721266;-32.452602;29.729576;-33.748318;31.56839;30.114855;-33.514038;-0.013864241;52.70928;-15.676045;-0.07678987;-11.611589;-17.142076;-16.149866;-3.5656958;-18.421667;15.096412;-4.0346193;-18.503;-0.051451;39.16511;-18.547655;-0.051873956;0.05142498;-0.247624;-0.09834632;-25.049166;-18.414124;-0.027373742;-30.416697;-23.152092;-0.04728131;-38.999313;-23.017776;-24.1438;-31.185923;-34.743645;22.841488;-30.313534;-34.53848;-5.948814;-23.538334;-18.774889;5.678232;-23.627544;-18.975456;-0.04201601;-46.081745;-29.100412;0.13145962;-71.922516;-40.81221;-54.992687;-33.310368;-111.25955;53.37338;-32.38059;-109.05945;-58.349514;35.846;-51.835968;56.719353;36.580914;-51.349934;0.0081123775;-58.122017;-27.97808;-71.841034;22.29841;-114.05057;69.24575;22.555235;-114.50877;-86.32327;49.50557;-125.90156;84.35312;49.196075;-126.756676;-71.46876;-8.968072;-116.01599;69.9085;-8.542711;-115.84767;-88.04982;31.48879;-139.81033;85.33465;32.043633;-140.62376;-76.37692;41.175556;-112.17445;74.7265;41.339233;-112.84233;-65.392334;-8.15324;-112.83866;62.889606;-8.139827;-112.27133;-74.431915;33.76468;-112.10934;72.124664;33.24113;-112.13656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00002_01_ECA.obj;;;;-43.48909;34.517548;-38.153202;41.953976;35.122734;-37.951565;-16.989634;32.58249;-34.5381;15.299556;32.5501;-34.161522;-32.22957;38.425163;-30.784502;31.65939;38.7113;-30.721266;-32.452602;29.729576;-33.748318;31.56839;30.114855;-33.514038;-0.013864241;52.70928;-15.676045;-0.07678987;-11.611589;-17.142076;-16.149866;-3.5656958;-18.421667;15.096412;-4.0346193;-18.503;-0.051451;39.16511;-18.547655;-0.051873956;0.05142498;-0.247624;-0.09834632;-25.049166;-18.414124;-0.027373742;-30.416697;-23.152092;-0.04728131;-38.999313;-23.017776;-24.1438;-31.185923;-34.743645;22.841488;-30.313534;-34.53848;-5.948814;-23.538334;-18.774889;5.678232;-23.627544;-18.975456;-0.04201601;-46.081745;-29.100412;0.13145962;-71.922516;-40.81221;-54.992687;-33.310368;-111.25955;53.37338;-32.38059;-109.05945;-58.349514;35.846;-51.835968;56.719353;36.580914;-51.349934;0.0081123775;-58.122017;-27.97808;-71.841034;22.29841;-114.05057;69.24575;22.555235;-114.50877;-86.32327;49.50557;-125.90156;84.35312;49.196075;-126.756676;-71.46876;-8.968072;-116.01599;69.9085;-8.542711;-115.84767;-88.04982;31.48879;-139.81033;85.33465;32.043633;-140.62376;-76.37692;41.175556;-112.17445;74.7265;41.339233;-112.84233;-65.392334;-8.15324;-112.83866;62.889606;-8.139827;-112.27133;-74.431915;33.76468;-112.10934;72.124664;33.24113;-112.13656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00004_01_ECA.obj;;;;-42.7785;37.7719;-32.9889;39.7601;37.9054;-34.0926;-16.6219;33.8015;-32.6446;14.2922;33.2994;-32.0618;-31.4535;39.879;-29.1145;29.9754;40.6024;-28.7236;-32.6073;31.6277;-30.5688;30.8368;32.8564;-31.2124;0.0609143;54.8109;-14.0559;-0.068226;-11.1989;-17.5657;-16.7636;-3.08095;-19.897;14.156;-5.0659;-18.0823;0.00263535;38.5266;-16.9455;0.0622683;0.163625;-0.167051;0.0646911;-25.5091;-18.7733;-0.069825;-30.6799;-24.689;0.0406423;-38.3622;-22.8849;-22.1655;-31.0005;-35.481;22.2813;-29.7489;-32.7563;-5.93832;-23.8366;-19.2531;5.41054;-23.8849;-18.6925;0.0806404;-50.004;-31.09;0.00641302;-74.35;-50.4925;-54.2974;-30.0386;-115.442;55.8619;-24.5751;-104.564;-55.7165;37.6663;-44.7959;51.7834;39.3259;-43.7783;-0.0180764;-60.6494;-31.8458;-68.375;23.1563;-108.717;66.3698;26.1189;-110.463;-80.9605;49.445;-121.087;81.3767;49.9296;-124.873;-69.4101;-12.6358;-106.843;68.8913;-8.40479;-109.102;-86.818;28.3707;-135.981;84.7233;31.9091;-136.303;-69.6897;36.2668;-104.229;69.0833;38.7355;-106.701;-65.85;-11.117;-104.442;62.8379;-6.76642;-104.707;-68.2662;30.0222;-103.888;66.9309;32.674;-107.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00006_01_ECA.obj;;;;-41.1648;32.9497;-39.5201;39.6534;33.8568;-37.8681;-16.5302;32.4358;-36.556;14.4503;31.9065;-35.4717;-30.7879;36.6402;-33.0342;29.8629;35.6053;-32.9659;-30.9194;29.1762;-37.0729;29.4445;29.1414;-34.9928;0.0942857;50.0961;-18.3147;-0.0222337;-10.6839;-14.4662;-14.9779;-2.34034;-15.1494;13.8504;-1.33559;-16.4592;0.0131846;41.2908;-19.6604;0.091819;0.0680272;-0.266652;-0.128189;-20.9561;-14.9788;0.113902;-25.4367;-17.2832;-0.158547;-32.8603;-15.5561;-22.4884;-27.381;-30.3473;22.9469;-24.9214;-30.5612;-4.91641;-20.2346;-15.0979;4.67252;-20.1556;-15.254;-0.0783377;-38.7967;-19.3697;0.0350284;-67.5237;-28.7563;-50.2111;-35.98;-103.958;51.7411;-36.8887;-101.882;-52.0225;34.5985;-46.1069;55.0879;34.5855;-47.7005;0.0420842;-52.4878;-17.6687;-67.8759;19.4945;-112.352;70.665;22.3812;-110.742;-81.6553;45.5163;-124.205;87.039;45.061;-122.14;-66.6344;-9.63615;-113.142;70.542;-8.12043;-108.922;-81.0159;23.2647;-138.308;88.799;26.9023;-132.295;-70.273;32.8122;-110.76;74.8102;37.7288;-109.159;-60.4908;-7.86619;-109.251;63.6101;-7.38136;-105.004;-67.67;27.8771;-110.994;73.3789;31.9425;-109.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00007_01_ECA.obj;;;;-45.3298;37.1466;-40.5415;44.3033;36.255;-42.623;-18.5134;33.2336;-36.7921;16.188;32.6379;-37.2197;-34.3363;41.5306;-33.6564;33.8288;39.5634;-34.2531;-34.4132;31.9017;-35.2642;33.5827;30.789;-36.755;0.12959;51.8853;-14.4235;-0.0356107;-13.0827;-16.9983;-16.6623;-4.05884;-19.1798;15.5038;-4.97323;-21.1836;0.044336;39.4236;-19.1853;-0.0291473;0.258132;-0.140334;-0.0901103;-29.1039;-16.7076;0.055705;-35.7511;-21.7819;0.0285089;-44.8791;-21.1852;-28.1537;-35.8802;-32.2677;24.4702;-34.6564;-34.317;-5.68164;-26.7827;-16.8184;5.63171;-26.3173;-17.4413;0.0403775;-52.2879;-27.0041;0.0981629;-80.2827;-43.5233;-57.0806;-39.8906;-118.469;50.4482;-38.958;-118.26;-63.254;40.8951;-53.951;59.7107;38.7682;-58.1024;0.0468024;-61.4376;-25.9881;-78.3702;26.048;-120.74;70.6534;28.1125;-122.519;-91.2689;55.5377;-137.688;87.5631;56.4117;-137.202;-75.6368;-4.45582;-120.828;70.4776;-1.8171;-120.704;-93.2421;34.1812;-155.155;90.0449;35.8349;-155.402;-82.7099;46.6375;-123.483;76.087;46.7891;-123.211;-72.0651;-5.47207;-119.272;64.1992;-3.95897;-118.937;-83.3521;40.1314;-121.805;75.3747;40.0263;-121.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00010_02_ECA.obj;;;;-41.252;35.3762;-31.5938;38.1289;36.8207;-34.7687;-16.4806;33.7079;-30.1745;14.6456;33.7036;-31.6777;-31.5644;38.7709;-27.1002;28.6413;40.0911;-29.5069;-32.1546;31.0593;-29.0698;29.5769;32.0495;-31.0545;0.20317;53.1831;-12.6427;-0.235144;-11.0663;-20.0625;-17.0901;-1.14536;-23.4647;16.0657;-3.01929;-21.1924;-0.157322;41.6271;-15.9237;-0.12601;0.145171;-0.608533;0.0922598;-23.9139;-22.4003;-0.0569145;-28.343;-27.2117;-0.0962644;-39.0577;-25.8317;-21.0015;-28.8451;-37.834;22.0997;-28.3511;-38.0586;-4.41041;-22.9412;-22.628;5.74356;-23.2409;-23.0145;-0.0290061;-46.1703;-32.4548;-0.031265;-71.1974;-51.188;-54.2138;-34.9769;-106.58;50.4375;-27.751;-109.79;-54.4511;38.942;-41.594;52.2262;41.1595;-47.6621;-0.128858;-59.6716;-35.1777;-74.6695;17.0689;-106.95;64.5155;23.4842;-110.346;-94.7667;40.754;-116.122;84.3345;48.9715;-116.345;-74.1662;-13.1313;-110.725;67.2865;-7.30939;-113.24;-96.0687;24.9779;-127.399;84.662;35.6701;-126.587;-81.3018;36.8726;-104.216;73.4315;47.0929;-107.741;-66.5287;-9.86562;-107.199;58.2251;-6.21285;-111.311;-76.3504;27.8886;-106.306;69.758;38.9529;-106.932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00013_02_ECA.obj;;;;-45.1738;32.8539;-41.4507;43.9566;31.6769;-41.9979;-17.3375;33.5631;-38.4531;16.0999;32.5878;-38.4605;-33.3343;36.6976;-31.5574;30.8101;35.7358;-31.9906;-32.6676;28.8532;-36.5968;30.74;28.3532;-36.6271;0.037681;48.9473;-17.9807;-0.0256691;-12.4829;-17.2061;-15.735;-6.49069;-19.0027;15.3611;-6.40703;-19.8355;0.0596772;38.3971;-21.7412;0.0;0.0;0.0;0.0213977;-27.3455;-22.2935;0.0457774;-32.3994;-26.3794;0.0149673;-40.1967;-25.5722;-28.092;-32.0166;-39.3686;24.4741;-32.8484;-39.6127;-8.02233;-25.0931;-22.3842;6.397;-25.2268;-22.7685;-0.17497;-47.5929;-31.2198;0.0246939;-75.4029;-39.1686;-66.2324;-23.9938;-114.214;61.8187;-29.8793;-110.495;-66.5805;32.4767;-63.956;61.8612;31.2292;-58.3272;-0.127509;-60.2122;-29.1197;-76.5745;25.6598;-118.059;72.8193;20.2975;-121.024;-89.3236;60.0496;-131.906;88.2848;50.5904;-133.688;-78.2383;-6.98041;-122.829;75.1103;-13.4322;-122.215;-92.2493;38.87;-145.236;90.714;39.0006;-146.153;-81.82;49.0629;-115.114;79.048;42.1949;-118.341;-72.5241;-7.09696;-118.743;68.5146;-12.9481;-118.932;-79.9931;39.2485;-115.818;77.1537;35.7216;-117.815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00014_02_ECA.obj;;;;-43.0288;34.2169;-39.2627;39.4645;36.0245;-36.1453;-18.7247;32.4102;-34.0942;15.6523;32.9479;-32.964;-31.5769;37.7207;-32.9598;31.3998;39.198;-31.9069;-33.0787;30.6939;-35.8133;31.8426;31.2235;-33.7853;-0.0317982;56.6359;-16.1385;-0.205035;-9.90231;-16.8049;-16.3212;0.550668;-17.118;16.806;0.348365;-17.7937;-0.0640864;40.9275;-17.4924;-0.0793964;0.145468;-0.373124;-0.0980361;-25.498;-18.7483;0.0671345;-30.8942;-23.703;0.122272;-40.5702;-22.8019;-22.1091;-29.8136;-32.8637;18.7026;-30.4906;-32.1804;-4.43516;-24.9357;-18.9282;6.20153;-24.8147;-19.703;-0.116252;-47.1204;-29.5982;0.0755785;-71.9685;-40.237;-52.5771;-33.9273;-113.964;50.5573;-33.4365;-113.059;-57.8802;36.8108;-53.207;55.1744;38.3605;-47.8467;-0.0175397;-59.3337;-27.3578;-70.4992;20.5258;-115.059;68.3193;19.4712;-116.807;-87.2262;45.6804;-126.186;82.2779;46.5327;-129.073;-68.4171;-9.78936;-117.871;69.4711;-10.9814;-117.919;-87.095;28.9712;-144.807;81.2633;27.4844;-144.184;-78.6634;41.399;-116.624;75.7151;42.3368;-117.042;-61.8604;-9.42203;-115.496;61.1397;-11.3193;-111.595;-75.6826;32.7293;-116.104;72.4007;32.2873;-114.609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00015_01_ECA.obj;;;;-45.5575;28.517;-43.385;45.2588;28.9484;-42.7395;-17.2543;28.2786;-36.2209;16.9283;28.4729;-36.4709;-35.0183;34.7328;-34.3633;35.9445;34.9132;-33.9665;-34.161;25.787;-37.0363;33.971;26.2241;-36.8677;-0.339021;51.2098;-18.9006;-0.0867222;-15.3659;-16.4245;-16.575;-7.46613;-19.0297;15.5676;-6.64113;-18.7973;-0.361792;36.5615;-20.4544;-0.31236;-0.304725;-0.548737;-0.685348;-28.2885;-15.3464;-0.430313;-34.6409;-20.6477;-0.443287;-43.0384;-19.9834;-25.9353;-37.1758;-32.9542;24.5904;-35.7852;-34.0739;-7.41053;-26.8056;-16.2292;5.79109;-27.1976;-16.3157;-0.133644;-52.2518;-25.8173;1.16843;-77.6735;-36.4888;-58.6592;-34.4125;-104.857;56.94;-35.2378;-105.356;-63.2747;25.4509;-62.7979;60.1812;26.8356;-58.4341;0.0447661;-63.6072;-24.6999;-71.0964;14.4174;-117.333;71.151;10.3616;-115.616;-84.5283;36.5635;-135.689;84.2135;36.1064;-136.588;-71.666;-18.2634;-115.764;73.3025;-20.2803;-116.701;-87.0702;22.2513;-140.835;83.2284;23.7839;-148.206;-76.9978;31.4431;-119.638;76.4249;27.1593;-116.857;-64.6556;-15.3647;-112.766;63.3986;-16.6312;-113.157;-75.431;25.7531;-117.217;75.3064;23.3989;-116.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00016_02_ECA.obj;;;;-42.0395;32.9186;-39.6712;44.7848;32.9663;-39.1942;-14.4768;27.812;-35.3232;13.8659;29.1027;-33.9013;-28.8366;36.9564;-29.8888;31.4794;38.1319;-28.205;-28.9293;24.9567;-33.4908;31.5077;25.8035;-32.5287;-0.125854;49.9067;-17.9595;-0.010861;-12.6484;-15.9607;-15.9875;-7.76346;-16.0753;13.8726;-7.75408;-15.2895;0.0739426;34.1805;-20.8725;0.0;0.0;0.0;-0.093918;-25.5754;-14.7625;0.0182134;-31.6797;-20.6065;0.00412429;-41.284;-25.137;-23.6739;-32.7551;-33.7822;22.2175;-30.6997;-31.9218;-6.64577;-23.9599;-15.3567;5.38086;-24.3806;-15.3693;-0.0468731;-43.7379;-31.1489;-0.0318232;-65.639;-31.0221;-49.4232;-36.8106;-107.605;51.8577;-36.989;-104.031;-57.9765;32.502;-56.4279;60.1783;32.85;-54.7028;0.288213;-55.233;-26.3724;-67.4606;22.1818;-120.231;70.7248;20.9915;-115.704;-81.6768;52.703;-130.374;80.3319;50.415;-129.091;-69.146;-7.25516;-120.429;68.8546;-8.24072;-117.623;-77.9562;33.9764;-147.108;76.4916;24.0054;-146.58;-69.3739;42.8175;-113.989;75.0037;40.6153;-115.097;-61.4367;-6.01694;-114.876;64.0459;-6.82826;-112.359;-68.2278;33.4805;-115.097;69.4483;23.7476;-113.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
